"id","date","price","bedrooms","bathrooms","sqft_lot","sqft_living","lat","long"
"36720","20141013T000000","11.03","1","1","30","30","-70.65638","-33.43558"
"36721","20141013T000000","11.03","1","1","36","39","-70.65036","-33.43792"
"36722","20141013T000000","11.03","1","1","30","30","-70.65418","-33.43621"
"36723","20141013T000000","11.03","1","1","30","32","-70.65917","-33.44334"
"36724","20141013T000000","11.03","1","1","43","47","-70.65773","-33.43682"
"36725","20141013T000000","11.03","1","1","38","42","-70.65604","-33.43798"
"36726","20141013T000000","11.03","1","1","30","32","-70.659","-33.4359"
"36727","20141013T000000","11.03","1","1","30","30","-70.65892","-33.43376"
"36728","20141013T000000","11.03","1","1","30","30","-70.65892","-33.43376"
"36729","20141013T000000","11.03","1","1","30","30","-70.65892","-33.43376"
"36730","20141013T000000","11.04","1","1","40","43","-70.64405","-33.43615"
"36731","20141013T000000","11.39","1","1","37","37","-70.65448","-33.43445"
"36732","20141013T000000","11.4","1","1","43","45","-70.65718","-33.43685"
"36733","20141013T000000","11.4","1","1","35","35","-70.64945","-33.43771"
"36734","20141013T000000","11.58","2","1","44","44","-70.65732","-33.44516"
"36735","20141013T000000","11.66","1","1","32","35","-70.64498","-33.43798"
"36736","20141013T000000","11.76","2","2","48","54","-70.65898","-33.43886"
"36737","20141013T000000","11.76","1","1","30","32","-70.64498","-33.43798"
"36738","20141013T000000","11.76","2","1","45","48","-70.65859","-33.43395"
"36739","20141013T000000","11.76","1","1","30","30","-70.65892","-33.43376"
"36740","20141013T000000","11.76","1","1","30","32","-70.64498","-33.43798"
"36741","20141013T000000","11.77","1","1","54","51","-70.6577","-33.437"
"36742","20141013T000000","11.77","2","1","45","45","-70.6592","-33.43621"
"36743","20141013T000000","11.78","1","1","30","32","-70.6592","-33.4433"
"36744","20141013T000000","11.8","1","1","38","40","-70.6537","-33.43614"
"36745","20141013T000000","11.8","1","1","45","52","-70.65788","-33.4368"
"36746","20141013T000000","12.06","2","1","45","48","-70.65569","-33.43422"
"36747","20141013T000000","12.13","2","2","80","80","-70.65866","-33.43816"
"36748","20141013T000000","12.13","1","1","45","55","-70.65718","-33.43685"
"36749","20141013T000000","12.13","2","1","47","47","-70.65892","-33.43376"
"36750","20141013T000000","12.13","1","1","45","45","-70.64355","-33.43727"
"36751","20141013T000000","12.13","1","1","35","37","-70.64498","-33.43798"
"36752","20141013T000000","12.13","1","1","30","30","-70.65657","-33.44021"
"36754","20141013T000000","12.13","1","1","42","47","-70.6572","-33.4369"
"36755","20141013T000000","12.13","1","1","50","50","-70.65718","-33.43685"
"36759","20141013T000000","12.15","1","1","37","37","-70.64609","-33.44289"
"36753","20141013T000000","12.13","1","1","43","43","-70.6578","-33.443"
"36756","20141013T000000","12.14","1","1","32","32","-70.64858","-33.43468"
"36757","20141013T000000","12.14","2","2","60","60","-70.65957","-33.43151"
"36758","20141013T000000","12.14","1","1","30","30","-70.64704","-33.44131"
"36760","20141013T000000","12.5","1","1","30","30","-70.65892","-33.43376"
"36761","20141013T000000","12.5","1","1","49","52","-70.65604","-33.43798"
"36762","20141013T000000","12.5","1","1","35","35","-70.64735","-33.43662"
"36763","20141013T000000","12.5","1","1","38","40","-70.64595","-33.44326"
"36764","20141013T000000","12.5","2","2","41","43","-70.6585","-33.4355"
"36765","20141013T000000","12.5","2","2","50","50","-70.64661","-33.43694"
"36766","20141013T000000","12.5","1","1","43","43","-70.64435","-33.43668"
"36767","20141013T000000","12.51","1","1","32","34","-70.64776","-33.43572"
"36768","20141013T000000","12.57","2","1","50","50","-70.65942","-33.44236"
"36769","20141013T000000","12.86","1","1","36","36","-70.64786","-33.43706"
"36770","20141013T000000","12.86","1","1","35","36","-70.65885","-33.44246"
"36771","20141013T000000","12.86","1","1","36","36","-70.6472","-33.4385"
"36772","20141013T000000","12.86","1","1","35","36","-70.65919","-33.44267"
"36773","20141013T000000","12.87","2","1","60","62","-70.6561","-33.4331"
"36774","20141013T000000","12.87","2","2","46","51","-70.65859","-33.43513"
